timestamp,dock_id,event,total_event_count,success_count,failure_count,avg_response_duration
,W-Dock001-01,toggle,54,53,1,0.028
,W-Dock001-01,increment,8,7,1,0.036
,W-Dock001-01,decrement,3,2,1,0.02
,W-Dock001-02,toggle,66,66,0,0.026
,W-Dock001-02,increment,5,4,1,0.018
,W-Dock001-02,decrement,3,3,0,0.035
,W-Dock001-03,toggle,67,65,2,0.027
,W-Dock001-03,increment,3,3,0,0.021
,W-Dock001-03,decrement,8,8,0,0.011
,W-Dock001-04,toggle,69,68,1,0.026
,W-Dock001-04,increment,5,5,0,0.011
,W-Dock001-04,decrement,8,8,0,0.018
,W-Dock001-05,toggle,6,5,1,0.019
,W-Dock001-05,increment,2,2,0,0.018
,W-Dock001-05,decrement,6,5,1,0.025
